id,fg_desc,commodity_code,std_op_time_min,alt_op_time_min,pick_op_time_min,std_warranty,tensabright,intrastat_unitweightkg
314T-2S,Contemporary Post Traditional Satin Brass,7326909890,,,,,,10
314TU-1P,Contemporary Post Polished Chrome with Universal  Base (M10 TAPPED TOP),7326909890,,,,,,10
314U,Rope & post contemporary dual line satin stainless steel weather proof,7326909890,,,,,,10
314U-1P,Contemporary Post Universal Polished Chrome,7326909890,,,,,,10
314U-1S,Contemporary Post Universal Satin Chrome,7326909890,,,,,,10
314U-2P,Contemporary Post Universal Polished Brass,7326909890,,,,,,10
314U-2S,Contemporary Post Universal  Satin Brass,7326909890,,,,,,10
314U-33S,Contemporary Post Gloss Black with Universal Base,7326909890,,,,,,10
314U-3S,Rope & post contemporary post with universal base St/St,7326909890,,,,,,10
SLQ1000-6,SLQ1000 Six Position,8531202090,45,,,,,6
SLQ1000-12,SLQ1000 Twelve Position,8531202090,45,,,,,9
SLQ1000-18,SLQ1000 Eighteen Position,8531202090,45,,,,,12
SLQ1000-24,SLQ1000 Twenty Four Position,8531202090,45,,,,,18
SLQ2000,SLQ2000 System,8531202090,90,,,,,8
SLQ3000,SLQ3000 System,8531202090,90,,,,,25
889,Poteau Advance,7326909890,3,2,,,Advance Post with Tensabright,10
890,Poteau Slimline,7326909890,3,2,,,Slimline Post with Tensabright,10
875,Poteau Popular unitaire,7326909890,2.25,,,,Popular Post Single Pack with Tensabright,9
885,Poteau outdoor unitaire,7326909890,2.25,,,,,2
886,Poteau Heavy Duty unitaire,7326909890,2.25,,,,Heavy Duty Post Single Pack with Tensabright,8
886P,Poteau Heavy Duty Plus,7326909890,2.25,,,,,8
TCL,Poteau Tensaclear,7326909890,3,,,,Tensaclear Post with Tensabright,9
889P,Poteau Advance Plus,7326909890,3,,,,,11
887,Poteau Utility,7326909890,3,,,,Utility Post with Tensabright,10
888,Poteau de securite,7326909890,3,,,,Safety Post with Tensabright,9
SA1,Poteau Stowawayunitaire,7326909890,3,,,,,2
