id,colorCode,Advance_889_post,Advance_889,Advance_889_dual,slimline_890b_build,popular_post,stow_post,display_post,heavyduty_post,heavyduty_screwfix_post,heavyduty_dual,Slimline_890_build,wide_cassette_post,wide_cassette_dual,heavyduty150_screwfix_post,heavyduty_dual_screwfix_post,utility887_post,safety888_post,slimline_890,tensaclear_post,outdoortwin_post,heavydutybayonettwin_post,heavydutyscrewfixtwin_post,Advance_889_Magnetic_post,680_post,telescopic_post,rotateheadmain_post,rotateheadsub_post,safety888sub_post,rotateheadassy_post,889_postfinishupcharge,qwayplus_post,marine_post,Advance_889B_post,rb1sub_post,889phw_subpost,slimline_890_build_head
White Ral9003 (9003),9003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Ral9010 (32),32,,x,x,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x
Window Grey Ral7040 (7040),7040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow (35),35,,x,,x,,,,,,,x,x,,x,,,,,,,,x,,,,,,,,,x,,x,,,x
Yellow Ral1004 Smooth (35),35,,,x,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,
White Textured (32T),32T,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink Ral4010 (4010),4010,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statuary Bronze (8),8,,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x
Prisim Silver (96),96,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Marine Coated Satin Slate Grey 38-70019 Tiger (MAR-3870019),MAR-3870019,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Marine Coated Light Green Ral6027 (MA-RAL6027),MA-RAL6027,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Marine Coated Red (MARINE21),MARINE21,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Marine Coated Blue (MARINE23),MARINE23,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Marine Coated White (MARINE32),MARINE32,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Marine Coated Black (MARINE33),MARINE33,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Marine Coated Yellow (MARINE-35),MARINE-35,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Marine Coated Grey (MARINE36),MARINE36,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Marine Coated Polished Stainless (MARINE-3P-C),MARINE-3P-C,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Marine Coated Satin Stainless (MARINE-3S),MARINE-3S,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Marine Coated Purple Ral4005 (MARINE-94),MARINE-94,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Orange Ral2003 (ORG-2003),ORG-2003,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Red Ral3020 (TARGET21),TARGET21,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Gray (87),87,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x
Rough Stainless (S00),S00,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Clear Coated Polished Chrome (1P-MARINE-C),1P-MARINE-C,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x
Marine Clear Coated Satin Chrome (1S-MARINE-C),1S-MARINE-C,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x
