id,cassette_assy,prewind_option,web_type,web_length,wedge_partnum,web_pt_search,fg_filter,tape_end_range,topcap_label_denial,topcap_label_part_prefix,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,cassfg_num,comment_string,cycle_time_selector,tensalarm_resetfob_partnum,alrmop_time,dustcover_option,r36,padprint_smartcode_suffix,smart_cass_id,topcap_included,NightView_max_length_m,Standard_max_length,fg_desc_type,suspend_selection,web_length_group1,web_length_group2,web_length_group3,web_length_group4,web_length_group5,base_listprice
Element mural Midi Interior,53737-000,,STD,6,,04837,Standard,1,TRUE,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,CAS-WM,Midi Interior,std,,,,,,39,FALSE,,,,,,,,,,
Element mural  Maxi Interior,50061-000,,STD,7,,04837,Standard,1,TRUE,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,CAS-WM,Maxi Interior,std,,,,,,40,FALSE,8.50,,,,,,,,,
Qmatic sans Cassette,,,,,,,No Cassette,,TRUE,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,0,FALSE,,,,,,,,,,
Element mural sangle large Midi Interior,54102-000,,STD,3,,03893,Wide webbing 150mm,2,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,CAS-PLUS-WM,Midi Plus Interior,std,,,,,,41,FALSE,,,,,,,,,,
Cassette Munich Magnetique Dummy,55578-CONFIG,,RCV,,,,End Post,,,03466,x,,,x,,,,,,,,,,,,,x,,,,,,,x,,,,x,,,,x,,,,CAS-MAG-RCV,Munich Magnetic Dummy Cassette,std,,,,,,42,TRUE,,,,,,,,,,
Cassette Munich Magnetique Dualline Max 4way,55580-CONFIG,,MAX,2,,08136,Max,1,TRUE,03466,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,CASD-MAG,Munich Max Dualline Cassette,std,,,,,,43,FALSE,3.45,,,,,,,,,
Munich Magnetique Dualline Dummy,55579-CONFIG,,RCV,,,,End Post,,,03466,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,CASD-MAG-RCV,Munich Magnetic Dualline Dummy Cassette,std,,,,,,44,FALSE,,,,,,,,,,
Qmatic Magnetic Std,54173-000,,STD,1,,04837,,1,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,CAS-MAG,Magnetic Standard Cassette.,std,,,,,,5,TRUE,,,,,,,,,,
Tensabright 4 Way Std Plain,53577-AAB,,STD,1,,11513,Standard,7,,03466,x,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,CAS,Tensabright Standard Cassette,std,,,,x,,1,TRUE,,,tensabright,,,,,,,
poteau Tensabright 4 Way Standard imprime,53577-AAA,,STD,1,,11513,Standard,7,TRUE,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS,Tensabright Standard Cassette,std,,,,,007,2,FALSE,,,tensabright,,,,,,,
poteau Tensabright Dualline 4way,54014-000,,STD,1,,11513,Standard,7,TRUE,03466,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD,Tensabright Dualline Cassette,std,,,,x,,16,FALSE,,,tensabright,,,,,,,
poteau Tensabright Zinc 4 Way Standard,54017-000,,STD,1,,11513,Standard,7,,03466,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,CAS-ZINC,Tensabright HeavyDuty Cassette,std,,,,x,,23,TRUE,,,tensabright,,,,,,,
poteau Tensabright Dualline Zinc 4 Way,59235-33S,,STD,1,,11513,Standard,7,TRUE,03466,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD-ZINC,Tensabright HeavyDuty Dualline Cassette,std,,,,x,,19,FALSE,,,tensabright,,,,,,,
cassette magnetique Tensabright Orange Max 4 Way,53657-015,,MAX,1,,11513,Max,5,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,CAS-TOPPER,Tensabright Tensacone Max Cassette (Orange),std,,,,,,37,TRUE,3.45,,tensabright,,,,,,,
cassette magnetique Munich standard Dualline 4way,55942-CONFIG,,STD,1,,04837,Standard,1,TRUE,03466,,x,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,CASD-MAG,Munich Std Dualline Cassette,std,,,,,,45,FALSE,,,,,,,,,,
